#,Company Name,Image File,Path
1,Bamboo,bamboo.png,/images/portfolio/bamboo.png
2,Bankly,bankly.png,/images/portfolio/bankly.png
3,Zuri Health,zuri-health.jpg,/images/portfolio/zuri-health.jpg
4,Orbit Health,orbit-health.png,/images/portfolio/orbit-health.png
5,Impact Investing Ghana,impact-investing-ghana.webp,/images/portfolio/impact-investing-ghana.webp
6,Wahu,wahu.webp,/images/portfolio/wahu.webp
7,FreezeLink,freezelink.jpg,/images/portfolio/freezelink.jpg
8,Synnefa,synnefa.png,/images/portfolio/synnefa.png
9,Appruve,appruve.png,/images/portfolio/appruve.png
10,Accra Angels Network,accra-angels-network.png,/images/portfolio/accra-angels-network.png
11,Maalicard,maalicard.jpeg,/images/portfolio/maalicard.jpeg
12,CodeLn,codeln.png,/images/portfolio/codeln.png
13,GrowForMe,growforme.png,/images/portfolio/growforme.png
14,Fluna,fluna.webp,/images/portfolio/fluna.webp
15,SESI Technologies,sesi-technologies.webp,/images/portfolio/sesi-technologies.webp
16,Meru Greens,meru-greens.png,/images/portfolio/meru-greens.png
17,Solar Now,solar-now.webp,/images/portfolio/solar-now.webp
18,PowerGen,powergen.webp,/images/portfolio/powergen.webp
19,Lono,lono.png,/images/portfolio/lono.png
20,Mace Foods,macefoods.png,/images/portfolio/macefoods.png
21,Rent to Own,rent-to-own.png,/images/portfolio/rent-to-own.png
22,Zonful Energy,zonful-energy.png,/images/portfolio/zonful-energy.png
23,Phema Agri,phema-agri.png,/images/portfolio/phema-agri.png
24,Figorr,figorr.png,/images/portfolio/figorr.png
25,Kigali Farms,kigali-farms.jpeg,/images/portfolio/kigali-farms.jpeg
26,Revna Biosciences,revna-biosciences.png,/images/portfolio/revna-biosciences.png
27,Redavia,redavia.png,/images/portfolio/redavia.png
28,Jaguza,jaguza.jpeg,/images/portfolio/jaguza.jpeg
29,Send,send.jpeg,/images/portfolio/send.jpeg
30,Plural,plural.jpeg,/images/portfolio/plural.jpeg
